Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
44.0,male,97238,,6,skiing,1672,suburban,54.0,211,fall,1,0,1
,non-binary,72086,bachelor,4,swimming,1136,suburban,246.0,132,summer,0,0,0
66.0,female,104568,doctorate,2,skiing,853,rural,18.0,112,fall,0,1,1
66.0,non-binary,27647,high school,5,sunbathing,4474,urban,62.0,231,summer,0,0,0
55.0,male,56893,master,9,swimming,2733,suburban,118.0,270,winter,1,0,0
,female,67507,master,0,skiing,3621,suburban,97.0,239,fall,0,0,1
,male,78333,doctorate,9,skiing,4613,suburban,199.0,242,spring,1,1,1
51.0,non-binary,90722,doctorate,4,sunbathing,2769,suburban,111.0,108,winter,1,1,0
65.0,male,82012,high school,9,skiing,1933,suburban,226.0,291,fall,0,0,1
69.0,non-binary,62283,master,7,swimming,3256,urban,238.0,242,winter,0,1,0
29.0,male,119895,bachelor,4,skiing,3918,rural,255.0,293,fall,1,0,1
55.0,male,35528,high school,2,skiing,1112,urban,295.0,260,fall,0,0,0
18.0,non-binary,98669,high school,9,sunbathing,3199,suburban,140.0,57,spring,0,0,0
48.0,female,66887,master,3,skiing,3092,rural,298.0,56,winter,1,0,0
21.0,non-binary,64169,bachelor,8,sunbathing,1068,suburban,226.0,194,fall,0,1,0
66.0,female,23856,high school,3,swimming,4254,urban,256.0,202,spring,1,1,0
62.0,female,26158,high school,6,sunbathing,3497,rural,107.0,188,summer,0,0,0
67.0,female,33916,master,8,swimming,4831,urban,147.0,59,spring,1,1,0
22.0,female,54484,doctorate,6,sunbathing,3852,urban,118.0,193,summer,0,1,0
47.0,non-binary,66561,bachelor,2,sunbathing,1424,suburban,143.0,261,fall,1,0,0
41.0,non-binary,30184,doctorate,1,sunbathing,2816,urban,,210,fall,1,0,0
20.0,female,43602,bachelor,8,swimming,4047,rural,175.0,213,fall,0,0,0
28.0,female,72344,master,0,swimming,4290,rural,262.0,122,spring,1,1,0
62.0,female,35425,doctorate,1,sunbathing,4132,rural,39.0,226,summer,1,0,0
21.0,female,80441,,6,sunbathing,4000,suburban,171.0,0,fall,1,0,0
43.0,female,74250,master,0,sunbathing,2577,suburban,122.0,114,spring,1,1,0
44.0,female,55708,bachelor,3,hiking,1696,urban,8.0,31,summer,1,0,1
,male,45885,bachelor,3,swimming,4844,urban,149.0,179,summer,0,0,0
60.0,female,98570,doctorate,8,sunbathing,505,rural,159.0,284,spring,1,1,0
44.0,male,57512,bachelor,3,swimming,2248,urban,200.0,50,spring,0,1,0
59.0,non-binary,88603,high school,3,swimming,4422,suburban,114.0,255,winter,0,1,0
,non-binary,76079,master,9,swimming,2168,suburban,195.0,150,spring,0,0,0
67.0,female,113207,doctorate,7,sunbathing,4869,suburban,202.0,159,summer,0,1,0
23.0,non-binary,57077,bachelor,7,skiing,4481,urban,187.0,259,winter,1,0,1
,non-binary,82227,doctorate,6,hiking,4568,rural,267.0,152,summer,0,0,0
47.0,female,58973,doctorate,6,skiing,1214,rural,152.0,59,summer,0,0,0
,non-binary,101533,bachelor,0,swimming,2848,suburban,96.0,27,winter,0,1,0
54.0,non-binary,68461,bachelor,0,skiing,4548,rural,208.0,72,winter,1,0,0
54.0,female,47699,master,3,hiking,792,suburban,14.0,226,fall,0,1,1
59.0,female,40778,high school,4,hiking,2216,rural,253.0,128,fall,1,0,0
54.0,female,41129,doctorate,9,hiking,3689,urban,134.0,104,spring,0,0,0
,male,65377,,0,hiking,1115,suburban,54.0,265,winter,0,1,1
40.0,female,116192,high school,7,swimming,3545,rural,,101,winter,0,0,0
23.0,non-binary,65668,master,6,hiking,1030,urban,288.0,164,spring,0,1,0
,female,97838,high school,5,swimming,1052,rural,112.0,95,winter,1,0,0
35.0,male,67699,,3,sunbathing,3896,suburban,236.0,238,summer,0,1,0
26.0,non-binary,86865,bachelor,9,hiking,2976,suburban,222.0,55,spring,0,1,0
66.0,male,27208,doctorate,0,hiking,2376,urban,175.0,173,fall,0,0,0
46.0,non-binary,79680,bachelor,3,hiking,1653,suburban,282.0,18,fall,1,0,0
30.0,female,21701,high school,5,sunbathing,512,suburban,253.0,146,winter,0,0,0
64.0,male,114675,high school,3,sunbathing,4968,urban,146.0,75,fall,1,1,0
69.0,female,34713,doctorate,9,hiking,3173,suburban,55.0,280,spring,0,1,1
34.0,non-binary,73439,master,0,sunbathing,3283,suburban,242.0,269,summer,0,1,0
62.0,female,100265,master,3,sunbathing,3876,suburban,233.0,268,winter,0,1,0
49.0,female,41091,doctorate,5,hiking,2473,suburban,118.0,2,winter,1,0,0
65.0,non-binary,44497,bachelor,9,hiking,862,urban,116.0,242,fall,0,0,1
39.0,male,32602,doctorate,6,swimming,1919,suburban,113.0,166,winter,0,1,0
21.0,non-binary,51883,master,9,skiing,1878,rural,290.0,21,spring,1,1,0
22.0,non-binary,43097,master,6,skiing,2222,rural,239.0,236,winter,1,0,0
54.0,female,98040,doctorate,4,skiing,3164,suburban,73.0,285,summer,1,1,1
58.0,non-binary,49616,high school,2,skiing,4146,rural,118.0,203,fall,0,0,1
66.0,male,38512,doctorate,5,sunbathing,4273,urban,285.0,56,winter,1,0,0
30.0,non-binary,92151,bachelor,5,sunbathing,2560,rural,,60,fall,1,0,0
51.0,non-binary,76058,doctorate,7,sunbathing,4373,rural,217.0,31,spring,0,1,0
62.0,female,67666,master,4,sunbathing,1192,urban,115.0,266,spring,0,0,0
39.0,male,36812,master,0,skiing,1974,suburban,,57,winter,0,0,0
,female,61329,high school,2,sunbathing,4588,rural,147.0,156,winter,1,1,0
68.0,female,69512,doctorate,8,skiing,1893,urban,116.0,232,summer,1,1,1
20.0,male,54321,bachelor,9,skiing,2662,rural,202.0,253,summer,1,0,1
59.0,male,109830,high school,1,swimming,3125,rural,232.0,85,spring,1,1,0
51.0,non-binary,26321,high school,6,hiking,2893,rural,61.0,149,winter,0,1,1
49.0,male,73897,doctorate,6,sunbathing,676,rural,285.0,221,fall,1,0,0
62.0,female,86306,bachelor,3,sunbathing,837,urban,91.0,249,winter,1,0,0
68.0,male,25744,master,4,swimming,572,rural,95.0,90,summer,1,0,0
66.0,male,40053,high school,0,skiing,716,rural,268.0,55,winter,0,1,0
38.0,male,73633,bachelor,4,hiking,4599,rural,238.0,118,spring,1,1,0
63.0,female,47467,high school,1,swimming,516,rural,212.0,66,summer,1,1,0
61.0,non-binary,109976,,2,swimming,1810,urban,268.0,113,winter,0,1,0
38.0,non-binary,85676,master,4,hiking,2399,suburban,125.0,139,spring,1,1,1
61.0,female,94271,high school,7,skiing,617,rural,154.0,17,summer,1,0,0
28.0,non-binary,33208,doctorate,6,sunbathing,4477,urban,191.0,196,winter,0,1,0
56.0,non-binary,26642,,9,skiing,2193,urban,186.0,63,spring,0,0,0
21.0,female,95173,high school,3,hiking,3474,urban,227.0,34,winter,1,0,0
68.0,female,20913,high school,7,skiing,2308,urban,297.0,252,spring,0,1,0
18.0,non-binary,110249,doctorate,1,hiking,3738,rural,106.0,230,spring,1,1,1
45.0,male,117460,bachelor,0,skiing,829,suburban,247.0,118,spring,1,1,0
41.0,non-binary,111858,bachelor,6,swimming,4439,urban,62.0,138,spring,1,0,0
52.0,male,60353,high school,7,swimming,4780,urban,292.0,198,winter,1,1,0
30.0,female,99775,high school,1,hiking,1251,rural,62.0,11,summer,1,0,0
64.0,male,41130,high school,3,swimming,569,urban,87.0,225,winter,0,1,0
51.0,male,24693,high school,1,swimming,4419,urban,279.0,109,spring,1,0,0
28.0,male,87741,high school,9,skiing,4225,rural,296.0,265,winter,0,1,0
53.0,female,50208,doctorate,0,swimming,3333,urban,276.0,8,fall,1,1,0
68.0,non-binary,58917,doctorate,0,swimming,4176,urban,39.0,81,fall,0,1,0
34.0,non-binary,75885,bachelor,7,swimming,1822,suburban,231.0,34,spring,0,1,0
52.0,male,48343,high school,1,swimming,2288,suburban,157.0,39,summer,0,0,0
35.0,non-binary,35554,bachelor,0,swimming,3265,suburban,190.0,28,spring,0,1,0
57.0,female,61958,master,3,sunbathing,3592,rural,113.0,137,summer,0,1,0
,female,58494,high school,4,sunbathing,680,suburban,279.0,266,summer,0,1,0
41.0,female,107295,bachelor,6,hiking,2983,rural,96.0,143,winter,0,1,1
36.0,female,93213,doctorate,4,swimming,1501,urban,273.0,224,summer,1,0,0
54.0,non-binary,94619,bachelor,4,skiing,4424,urban,120.0,157,fall,1,1,1
56.0,male,116402,master,9,hiking,2458,suburban,222.0,224,summer,1,0,1
38.0,male,53724,master,9,skiing,4956,suburban,,20,spring,1,1,0
25.0,male,33117,master,5,skiing,670,urban,37.0,90,summer,0,1,1
,female,78325,doctorate,5,sunbathing,2580,rural,209.0,124,summer,1,1,0
22.0,non-binary,93542,high school,8,swimming,4234,suburban,249.0,159,winter,1,0,0
34.0,non-binary,88514,high school,9,sunbathing,2590,suburban,288.0,188,spring,1,0,0
54.0,non-binary,27338,doctorate,5,sunbathing,2341,urban,122.0,288,summer,0,0,0
53.0,non-binary,33828,high school,8,hiking,3087,suburban,174.0,28,fall,1,1,0
36.0,non-binary,98975,master,7,swimming,3031,urban,120.0,57,summer,1,1,0
44.0,non-binary,72269,bachelor,6,skiing,4337,suburban,152.0,87,spring,1,1,0
51.0,male,106818,doctorate,2,sunbathing,4374,rural,268.0,278,winter,0,1,0
28.0,female,46979,bachelor,8,skiing,1085,urban,30.0,236,winter,1,0,1
62.0,male,87195,master,6,swimming,1538,rural,,223,spring,0,0,0
64.0,non-binary,61686,doctorate,9,sunbathing,1702,rural,9.0,93,spring,1,1,0
,female,101827,doctorate,8,skiing,1690,urban,253.0,244,winter,0,1,0
38.0,female,25891,doctorate,1,skiing,1987,urban,13.0,157,summer,0,0,1
28.0,female,70620,high school,1,swimming,3685,suburban,24.0,247,winter,0,0,0
56.0,female,58145,bachelor,7,sunbathing,759,suburban,184.0,4,winter,0,0,0
45.0,non-binary,65156,,0,sunbathing,1259,urban,240.0,127,fall,0,1,0
22.0,non-binary,81602,bachelor,4,hiking,2637,rural,158.0,13,winter,0,1,0
34.0,female,92237,bachelor,0,skiing,3984,rural,272.0,66,fall,0,1,0
37.0,non-binary,53795,high school,7,hiking,2770,urban,,277,spring,1,1,1
58.0,female,25563,high school,5,swimming,3993,suburban,7.0,211,spring,1,0,0
63.0,non-binary,91215,high school,7,swimming,3206,rural,148.0,1,winter,1,0,0
29.0,female,25495,bachelor,0,sunbathing,1448,rural,154.0,152,fall,1,0,0
23.0,non-binary,87075,high school,0,sunbathing,4805,rural,243.0,105,spring,0,0,0
34.0,male,74981,bachelor,8,swimming,2450,suburban,15.0,74,winter,0,0,0
,male,23634,high school,6,skiing,2363,urban,34.0,266,winter,1,0,1
36.0,non-binary,74531,bachelor,5,swimming,806,rural,182.0,56,summer,0,1,0
43.0,non-binary,79733,master,2,skiing,2791,urban,293.0,88,winter,1,0,0
65.0,male,104664,high school,9,sunbathing,1569,suburban,116.0,64,fall,0,1,0
61.0,non-binary,63654,master,2,swimming,3115,rural,260.0,207,spring,0,1,0
61.0,female,68047,doctorate,7,sunbathing,1884,urban,73.0,163,spring,1,1,0
69.0,non-binary,33132,high school,7,skiing,1775,urban,,172,fall,0,1,1
49.0,non-binary,87562,master,9,hiking,3585,rural,219.0,3,summer,1,1,0
23.0,male,91146,master,0,skiing,3636,rural,81.0,236,fall,1,1,1
53.0,male,39943,master,5,sunbathing,1632,urban,194.0,69,winter,1,1,0
55.0,non-binary,45420,doctorate,8,skiing,4482,suburban,67.0,281,summer,0,0,1
28.0,female,23267,high school,8,skiing,3402,rural,34.0,244,summer,0,1,1
50.0,non-binary,103071,doctorate,0,sunbathing,4703,urban,284.0,151,summer,0,0,0
41.0,female,36823,bachelor,9,sunbathing,4844,suburban,227.0,261,winter,1,1,0
40.0,female,45880,bachelor,3,swimming,4610,rural,53.0,205,spring,0,0,0
32.0,non-binary,57874,bachelor,2,skiing,1687,urban,119.0,149,winter,1,1,1
44.0,female,68485,doctorate,1,hiking,3561,rural,64.0,139,fall,0,0,1
28.0,male,79554,high school,3,skiing,4426,suburban,33.0,276,spring,0,0,1
68.0,female,74877,bachelor,2,swimming,3813,suburban,127.0,211,spring,1,0,0
67.0,female,91702,doctorate,1,hiking,4003,urban,,283,fall,0,0,1
34.0,female,57258,high school,3,sunbathing,4988,suburban,207.0,299,winter,0,0,0
68.0,male,92782,bachelor,1,hiking,4292,rural,12.0,178,spring,0,0,1
31.0,male,44302,master,5,skiing,3681,suburban,148.0,202,fall,0,0,1
44.0,non-binary,34254,doctorate,9,skiing,1383,rural,265.0,136,summer,0,1,0
35.0,female,84779,master,5,skiing,4898,urban,171.0,69,spring,0,0,0
45.0,male,59154,doctorate,4,sunbathing,2904,rural,255.0,164,spring,1,1,0
,female,115650,master,4,sunbathing,4032,urban,106.0,150,winter,1,0,0
64.0,female,29505,doctorate,4,skiing,3497,urban,,187,summer,1,0,0
64.0,non-binary,112288,doctorate,7,swimming,2403,suburban,78.0,224,summer,0,0,0
21.0,female,74431,high school,7,hiking,512,rural,97.0,272,fall,0,0,1
,male,62883,master,9,skiing,862,urban,,26,summer,0,1,0
62.0,non-binary,43959,doctorate,5,sunbathing,3519,rural,253.0,261,spring,0,0,0
52.0,non-binary,21355,master,8,skiing,4187,urban,67.0,106,winter,0,0,1
65.0,female,72117,bachelor,5,skiing,524,urban,124.0,213,fall,0,0,1
26.0,female,119568,high school,8,sunbathing,4924,rural,227.0,277,winter,0,1,0
25.0,male,102850,doctorate,9,skiing,4321,suburban,68.0,229,winter,1,0,1
,female,107508,bachelor,6,hiking,4773,rural,63.0,282,summer,0,0,1
62.0,male,48784,master,6,sunbathing,1059,rural,6.0,68,fall,1,1,0
,female,80304,master,3,sunbathing,1166,suburban,65.0,175,winter,0,1,0
34.0,male,65033,bachelor,8,swimming,2309,suburban,146.0,171,winter,0,0,0
66.0,female,35662,doctorate,4,sunbathing,2661,rural,115.0,245,winter,1,0,0
,non-binary,32712,high school,2,hiking,4426,suburban,45.0,273,spring,0,0,1
49.0,male,54832,high school,4,sunbathing,3567,urban,269.0,35,spring,1,0,0
25.0,non-binary,84003,bachelor,3,sunbathing,2850,suburban,271.0,92,fall,0,0,0
36.0,non-binary,48151,bachelor,4,sunbathing,982,rural,186.0,265,winter,1,1,0
55.0,non-binary,43592,high school,7,hiking,2315,rural,141.0,244,spring,0,0,1
20.0,non-binary,41125,master,2,hiking,2301,urban,164.0,110,winter,0,1,0
22.0,male,21963,master,0,swimming,4804,suburban,147.0,145,summer,1,1,0
30.0,female,66231,high school,6,hiking,1648,urban,296.0,134,summer,1,0,0
64.0,non-binary,33365,bachelor,2,hiking,1746,rural,48.0,258,fall,0,1,1
63.0,female,35047,master,7,swimming,946,rural,253.0,75,winter,1,1,0
48.0,male,29064,doctorate,4,skiing,4448,rural,38.0,176,fall,0,1,1
33.0,female,26490,high school,5,swimming,981,rural,116.0,184,summer,1,1,0
67.0,male,105790,doctorate,2,skiing,4771,urban,282.0,58,spring,1,0,0
49.0,female,111400,master,9,swimming,3200,suburban,136.0,164,summer,0,0,0
39.0,male,40177,doctorate,3,skiing,2061,rural,246.0,129,summer,0,1,0
46.0,male,61780,doctorate,1,hiking,3525,suburban,147.0,254,spring,0,1,1
39.0,female,69787,bachelor,5,swimming,2206,urban,82.0,288,fall,1,0,0
60.0,non-binary,110113,master,3,hiking,4334,rural,255.0,15,winter,0,0,0
20.0,non-binary,105205,doctorate,6,hiking,1920,rural,79.0,275,fall,1,1,1
27.0,female,32691,doctorate,4,sunbathing,4300,urban,116.0,123,summer,0,1,0
59.0,non-binary,110999,high school,2,hiking,4708,suburban,96.0,196,spring,1,0,1
38.0,non-binary,48419,bachelor,2,swimming,2577,rural,68.0,113,fall,0,1,0
33.0,male,47877,high school,1,skiing,3800,rural,291.0,219,winter,1,0,0
29.0,female,101579,high school,7,swimming,3295,suburban,165.0,1,winter,0,0,0
19.0,non-binary,92509,master,1,hiking,1434,rural,124.0,103,summer,1,0,0
58.0,non-binary,39568,doctorate,2,skiing,1026,suburban,235.0,247,spring,0,0,1
41.0,non-binary,58035,doctorate,9,skiing,3351,suburban,142.0,11,summer,0,0,0
52.0,female,97747,high school,4,hiking,785,suburban,151.0,31,winter,1,0,0
47.0,non-binary,41637,high school,2,hiking,3264,urban,26.0,219,spring,1,1,1
47.0,non-binary,28188,doctorate,4,swimming,4151,urban,227.0,191,fall,1,0,0
64.0,non-binary,50301,doctorate,5,hiking,2646,rural,130.0,195,summer,0,0,1
52.0,male,21955,doctorate,3,swimming,1974,rural,264.0,40,fall,1,1,0
36.0,female,83618,doctorate,0,swimming,4165,suburban,125.0,215,spring,0,1,0
67.0,non-binary,53114,doctorate,9,swimming,949,suburban,13.0,119,summer,0,0,0
25.0,male,60058,master,1,swimming,1634,urban,18.0,292,summer,1,1,0
43.0,female,92143,master,4,hiking,613,urban,164.0,76,fall,1,1,0
66.0,male,83527,,8,sunbathing,4896,suburban,274.0,299,winter,0,1,0
57.0,male,65477,doctorate,3,hiking,725,urban,246.0,287,summer,1,1,1
24.0,female,119283,doctorate,0,skiing,2075,suburban,76.0,28,spring,0,1,0
47.0,non-binary,91724,bachelor,7,skiing,4179,suburban,120.0,165,summer,0,0,1
24.0,non-binary,24285,master,1,sunbathing,1563,rural,191.0,31,fall,0,1,0
20.0,male,44527,master,7,sunbathing,2462,urban,47.0,190,spring,1,0,0
18.0,female,100488,bachelor,5,sunbathing,4546,rural,278.0,81,spring,0,1,0
53.0,female,88471,bachelor,3,hiking,4746,rural,0.0,120,fall,0,1,1
42.0,non-binary,96382,master,4,sunbathing,4608,rural,65.0,262,spring,0,1,0
54.0,male,83041,master,9,swimming,1397,suburban,176.0,103,spring,0,0,0
,non-binary,64805,master,8,swimming,4859,urban,198.0,183,summer,1,0,0
32.0,female,56221,high school,7,hiking,1615,suburban,268.0,257,fall,1,0,0
,female,35853,master,6,skiing,4220,urban,294.0,171,summer,0,0,0
30.0,non-binary,78704,master,5,skiing,2572,urban,0.0,51,winter,1,0,1
57.0,non-binary,117113,master,0,skiing,500,rural,175.0,135,summer,1,0,0
25.0,female,54798,bachelor,7,hiking,1947,rural,124.0,249,winter,0,0,1
22.0,male,59411,high school,1,sunbathing,1156,suburban,284.0,100,spring,0,1,0
26.0,female,92164,master,6,skiing,2671,suburban,19.0,49,fall,0,1,1
18.0,male,98361,master,6,sunbathing,637,urban,92.0,111,fall,1,0,0
53.0,non-binary,68171,master,9,skiing,2581,urban,255.0,145,winter,0,0,0
52.0,non-binary,25092,bachelor,8,sunbathing,2302,rural,49.0,11,fall,1,1,0
19.0,male,27392,master,9,swimming,1162,urban,,275,fall,1,0,0
57.0,female,69930,master,4,sunbathing,2286,suburban,27.0,128,summer,0,0,0
40.0,female,61373,doctorate,2,hiking,1530,rural,39.0,299,spring,1,1,1
26.0,male,24442,doctorate,3,swimming,1257,suburban,119.0,46,winter,0,0,0
51.0,male,67210,bachelor,8,hiking,1133,urban,112.0,85,winter,0,1,0
,male,97729,,3,sunbathing,1207,suburban,268.0,194,spring,0,1,0
,male,70374,bachelor,0,sunbathing,4607,rural,,180,winter,1,0,0
21.0,female,84870,bachelor,1,skiing,4347,rural,206.0,154,winter,0,0,0
47.0,non-binary,89350,bachelor,6,sunbathing,3771,suburban,176.0,207,fall,0,0,0
48.0,female,47905,,8,swimming,2725,urban,218.0,184,summer,1,1,0
55.0,male,74335,doctorate,7,hiking,2450,rural,261.0,262,winter,0,1,1
28.0,female,65661,bachelor,0,swimming,2734,rural,172.0,266,summer,0,1,0
52.0,male,44303,bachelor,3,skiing,2566,suburban,75.0,213,spring,1,0,1
25.0,male,112542,doctorate,8,sunbathing,549,rural,178.0,6,fall,1,0,0
,male,106173,doctorate,3,hiking,3006,rural,7.0,121,winter,1,1,1
31.0,male,22148,doctorate,3,hiking,4288,rural,64.0,54,spring,0,1,0
30.0,female,23746,doctorate,7,sunbathing,3375,suburban,130.0,184,fall,0,0,0
62.0,male,34969,bachelor,5,hiking,4396,urban,154.0,224,winter,1,0,1
49.0,female,105221,,2,sunbathing,2220,suburban,58.0,37,summer,1,1,0
,female,77572,bachelor,7,sunbathing,1979,rural,289.0,100,fall,1,1,0
62.0,non-binary,41073,master,4,sunbathing,4344,suburban,79.0,211,summer,0,0,0
36.0,female,60765,doctorate,1,skiing,2345,urban,152.0,112,spring,0,0,0
,non-binary,119815,high school,8,hiking,3884,urban,280.0,136,summer,1,0,0
33.0,non-binary,27788,master,8,hiking,558,suburban,101.0,76,fall,0,0,0
19.0,non-binary,71765,doctorate,7,skiing,4087,urban,246.0,40,fall,0,0,0
57.0,female,99329,bachelor,1,swimming,4179,suburban,163.0,29,summer,1,0,0
,non-binary,72336,doctorate,0,sunbathing,991,suburban,202.0,291,winter,1,1,0
51.0,male,106565,master,9,sunbathing,1399,suburban,172.0,50,spring,0,1,0
59.0,female,76605,bachelor,4,swimming,3575,rural,164.0,50,winter,1,0,0
33.0,male,40499,doctorate,0,swimming,4771,suburban,48.0,199,winter,0,1,0
55.0,female,22511,doctorate,2,hiking,3343,urban,92.0,127,spring,1,0,1
19.0,non-binary,93283,doctorate,1,hiking,1120,rural,163.0,49,summer,1,0,0
,non-binary,85391,doctorate,9,sunbathing,3471,rural,112.0,13,winter,1,1,0
43.0,female,81645,high school,2,skiing,3189,suburban,30.0,55,spring,0,0,1
,non-binary,107560,high school,1,sunbathing,1533,urban,17.0,285,summer,0,1,0
64.0,male,60683,doctorate,8,skiing,1966,rural,188.0,191,fall,1,0,1
48.0,male,116010,bachelor,7,sunbathing,1858,suburban,211.0,153,fall,0,1,0
51.0,non-binary,95741,bachelor,4,swimming,1647,urban,50.0,21,spring,1,0,0
56.0,female,119526,master,1,swimming,4113,urban,172.0,219,winter,1,1,0
20.0,female,95064,master,7,skiing,3076,rural,295.0,207,summer,1,0,0
25.0,male,36272,bachelor,0,sunbathing,3382,urban,208.0,62,winter,1,1,0
40.0,non-binary,33580,high school,9,hiking,1799,rural,,208,winter,1,0,1
31.0,non-binary,63578,master,1,swimming,2384,urban,34.0,63,fall,1,0,0
44.0,male,117070,master,0,hiking,1485,urban,173.0,13,summer,0,0,0
46.0,female,60697,high school,3,sunbathing,4060,suburban,187.0,199,fall,0,0,0
56.0,non-binary,45979,high school,1,sunbathing,1607,urban,288.0,76,fall,1,1,0
56.0,female,92223,master,4,swimming,2179,suburban,0.0,126,winter,0,0,0
18.0,female,57815,bachelor,5,skiing,1566,urban,109.0,35,spring,0,0,0
34.0,male,61410,high school,8,swimming,4741,urban,260.0,113,fall,1,1,0
58.0,female,37802,master,1,swimming,2283,rural,250.0,289,summer,0,1,0
47.0,male,39317,bachelor,9,skiing,3330,rural,140.0,63,winter,1,1,0
30.0,non-binary,63449,bachelor,0,hiking,3858,rural,247.0,138,fall,0,1,0
38.0,female,118099,bachelor,1,hiking,1182,suburban,64.0,23,winter,1,1,0
36.0,male,117436,doctorate,4,hiking,2975,suburban,202.0,168,winter,0,1,0
,male,96929,master,0,skiing,2502,urban,149.0,164,spring,1,1,1
42.0,female,21258,doctorate,9,sunbathing,531,rural,26.0,32,winter,1,1,0
39.0,male,31715,doctorate,5,hiking,1347,suburban,289.0,97,winter,0,1,0
48.0,non-binary,118271,master,8,skiing,643,rural,282.0,243,spring,1,0,0
34.0,female,23120,doctorate,3,skiing,4211,rural,187.0,154,fall,0,1,0
40.0,non-binary,92048,,2,swimming,1502,urban,75.0,245,summer,0,1,0
49.0,male,61364,high school,2,skiing,2832,suburban,253.0,265,fall,1,0,1
27.0,non-binary,35468,bachelor,3,hiking,4688,rural,168.0,217,spring,1,1,1
27.0,male,76012,bachelor,6,hiking,2709,suburban,283.0,53,winter,1,1,0
53.0,male,115327,master,8,sunbathing,2396,suburban,244.0,113,winter,0,1,0
25.0,non-binary,78866,master,9,swimming,3852,rural,256.0,239,spring,1,1,0
69.0,female,72098,high school,0,sunbathing,1859,urban,187.0,85,fall,1,1,0
37.0,female,99401,high school,6,hiking,2699,rural,276.0,158,spring,0,1,0
49.0,female,25807,master,8,sunbathing,3834,suburban,69.0,84,winter,1,0,0
67.0,non-binary,53907,bachelor,0,skiing,3929,suburban,35.0,50,spring,1,1,1
31.0,non-binary,73598,doctorate,4,swimming,1043,urban,69.0,37,summer,1,0,0
67.0,non-binary,87197,bachelor,6,skiing,4749,rural,246.0,199,spring,0,0,0
45.0,non-binary,54390,high school,1,hiking,3281,urban,215.0,27,winter,0,1,0
63.0,female,44132,high school,1,skiing,695,urban,161.0,139,winter,1,1,0
69.0,female,75808,bachelor,2,skiing,2693,rural,87.0,34,fall,0,0,0
41.0,male,106863,master,9,skiing,4632,suburban,253.0,226,summer,0,0,0
32.0,non-binary,57066,bachelor,6,swimming,3303,suburban,63.0,124,fall,1,1,0
39.0,female,109700,bachelor,7,swimming,901,rural,105.0,11,winter,0,1,0
47.0,female,81263,bachelor,0,sunbathing,3765,rural,198.0,242,winter,0,1,0
21.0,female,37082,high school,3,hiking,975,rural,266.0,112,fall,1,1,0
30.0,female,79723,bachelor,6,hiking,3563,suburban,291.0,176,winter,0,1,0
40.0,female,67851,bachelor,0,hiking,3976,urban,95.0,289,fall,0,0,1
25.0,female,110230,bachelor,1,swimming,1948,rural,154.0,32,fall,1,0,0
35.0,non-binary,107344,bachelor,0,sunbathing,1684,suburban,33.0,124,spring,1,1,0
29.0,male,50504,master,8,swimming,1738,rural,144.0,125,summer,0,1,0
48.0,male,64773,doctorate,0,swimming,1538,rural,186.0,36,spring,1,0,0
31.0,non-binary,82651,master,5,swimming,4126,suburban,29.0,142,spring,0,0,0
51.0,female,70375,doctorate,6,swimming,1013,suburban,88.0,179,fall,1,0,0
35.0,non-binary,33511,high school,7,hiking,1645,urban,47.0,144,spring,1,1,1
51.0,female,50584,doctorate,6,hiking,1641,suburban,120.0,80,summer,0,1,0
28.0,female,43316,bachelor,3,sunbathing,1929,rural,41.0,89,spring,0,0,0
,female,69191,master,1,swimming,1722,suburban,34.0,299,winter,1,0,0
29.0,female,35303,high school,4,swimming,3738,suburban,,250,winter,0,0,0
66.0,female,43388,bachelor,0,sunbathing,2049,suburban,149.0,100,spring,1,1,0
,non-binary,95341,bachelor,0,swimming,1714,suburban,83.0,83,spring,1,1,0
48.0,non-binary,95209,bachelor,9,swimming,3526,urban,75.0,17,fall,0,0,0
66.0,male,113914,bachelor,3,sunbathing,4846,suburban,206.0,98,winter,0,0,0
46.0,female,72391,doctorate,5,sunbathing,2777,suburban,,101,summer,1,0,0
43.0,non-binary,93626,,9,skiing,1495,urban,104.0,114,summer,0,0,1
35.0,non-binary,30087,master,6,sunbathing,3165,suburban,193.0,137,fall,1,1,0
49.0,female,33561,bachelor,3,sunbathing,1868,suburban,14.0,81,summer,0,1,0
39.0,female,53250,bachelor,2,sunbathing,2110,urban,267.0,288,summer,1,0,0
55.0,non-binary,32707,high school,0,skiing,2459,rural,229.0,202,spring,1,0,0
34.0,female,114242,master,8,skiing,2204,urban,26.0,171,summer,0,1,1
40.0,non-binary,25620,doctorate,8,swimming,1049,rural,162.0,167,summer,0,0,0
41.0,male,83316,bachelor,1,hiking,3540,suburban,184.0,243,summer,1,1,1
67.0,female,20292,high school,7,skiing,768,rural,,100,summer,1,1,0
,male,110251,high school,8,swimming,3431,urban,33.0,111,fall,1,1,0
58.0,male,78801,bachelor,5,skiing,1054,suburban,171.0,239,fall,1,1,1
23.0,male,56760,,1,swimming,1043,rural,199.0,122,spring,0,1,0
22.0,female,96763,doctorate,2,swimming,2293,urban,24.0,66,winter,1,1,0
61.0,male,110942,doctorate,8,sunbathing,2993,rural,,179,fall,0,1,0
